nosaukums,Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
Perfectly Central Apartment 5 min to Old Town & Art Noveau.,1,0,0,0,0,0,0,2022,9,9.7,1,2,130,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rūnēnu tējas namiņš,2,5,5,8,7,5,5,2019,9.6,9.4,1,2,80,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Rūnēnu tējas namiņš,3,5,5,8,7,5,5,2019,9.6,9.4,1,3,95,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Rūnēnu tējas namiņš,4,5,5,8,7,5,5,2019,9.6,9.4,1,4,110,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Rūnēnu zāļu namiņš,5,5,5,8,7,5,5,2022,9.5,9.4,1,3,82,66,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Hotel Sigulda,6,8,8,8,7,5,7,2010,8.6,9.5,0,2,70,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,7,8,8,8,7,5,7,2010,8.6,9.5,0,2,80,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,8,8,8,8,7,5,7,2010,8.6,9.5,0,2,85,18,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,9,8,8,8,7,5,7,2010,8.6,9.5,0,2,94,24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,10,8,8,8,7,5,7,2010,8.6,9.5,0,2,95,24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,11,8,8,8,7,5,7,2010,8.6,9.5,0,2,107,30,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,12,8,8,8,7,5,7,2010,8.6,9.5,0,2,115,45,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Hotel Sigulda,13,8,8,8,7,5,7,2010,8.6,9.5,0,2,150,45,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Liva Hotel,14,7,7,7,7,5,8,2007,8.3,9.4,0,2,46,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Liva Hotel,15,7,7,7,7,5,8,2007,8.3,9.4,0,2,58,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Liva Hotel,16,7,7,7,7,5,8,2007,8.3,9.4,0,2,52,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Liva Hotel,17,7,7,7,7,5,8,2007,8.3,9.4,0,2,86,25,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Liva Hotel,18,7,7,7,7,5,8,2007,8.3,9.4,0,2,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,19,9,9,9,10,7,9,2017,9.4,9.1,0,1,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,20,9,9,9,10,7,9,2017,9.4,9.1,0,3,81,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,21,9,9,9,10,7,9,2017,9.4,9.1,0,3,91,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Miķelis,22,9,9,9,10,7,9,2017,9.4,9.1,0,4,102,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
