Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2022,9.2,9.2,0,2,63,20,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2010,7.9,7.9,0,2,45,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,9.5,9.3,0,2,69,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2022,9.8,9.6,0,2,252,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,9,9.2,0,2,110,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,8.5,9.5,0,2,75,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2012,8.9,8.8,0,2,55,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,9.3,9.4,2,4,95,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008,7.6,8.8,0,2,52,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2015,9.1,9.6,0,2,57,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2012,8.9,9.6,0,2,30,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2016,8.7,8.7,1,3,55,30,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2009,7.7,8.6,0,2,57,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2021,9.6,9.4,1,2,150,23,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
2007,9,9.8,1,2,72,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2020,9.3,9,0,2,55,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,8,8,0,2,61,20,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2020,8.9,9.8,0,2,53,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,8.7,9.3,0,2,52,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2023,9.1,9.1,0,2,75,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2020,9.2,9.3,0,2,54,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2009,8.3,8.9,0,2,115,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,8.6,8.6,1,2,30,32,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
2023,8.8,9.3,0,2,45,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,9.5,9.7,1,2,65,50,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2023,9.6,9.5,1,2,68,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2010,9.6,9.4,1,2,124,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
