Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2022,9,9.7,1,2,130,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9.6,9.4,1,2,80,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2019,9.6,9.4,1,3,95,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2019,9.6,9.4,1,4,110,56,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2022,9.5,9.4,1,3,82,66,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2010,8.6,9.5,0,2,70,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,80,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,85,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,94,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,95,24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,107,30,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,115,45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2010,8.6,9.5,0,2,150,45,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2007,8.3,9.4,0,2,46,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8.3,9.4,0,2,58,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8.3,9.4,0,2,52,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8.3,9.4,0,2,86,25,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8.3,9.4,0,2,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,1,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,3,81,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,3,91,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,4,102,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.4,9.1,0,4,93,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2019,8,9,0,3,70,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2019,8,9,0,4,77,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,2,62,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,2,86,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,2,143,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,3,162,52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2007,8,9.5,0,2,238,111,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
