Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
54,2020,8.8,8.6,0,2,48,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
55,2020,8.8,8.6,0,2,60,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
56,2020,8.8,8.6,0,3,80,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
57,2020,8.8,8.6,0,3,94,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
58,2020,8.8,8.6,0,3,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
59,2020,8.8,8.6,0,4,100,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
60,2010,8.6,9.2,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
61,2010,8.6,9.2,0,2,75,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
62,2010,8.6,9.2,0,2,115,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
63,2010,8.6,9.2,0,2,150,147,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
64,2010,8.5,9.3,1,4,78,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
65,2010,8.5,9.3,1,3,132,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
66,2010,8.5,9.3,1,4,84,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
67,2010,8.5,9.3,1,4,120,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
68,2013,9.1,9,1,2,52,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
69,2013,9.1,9,1,3,57,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
70,2013,9.1,9,1,3,82,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
71,2013,9.1,9,1,4,87,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
72,2012,8.2,9,0,2,27,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
73,2012,8.2,9,0,3,32,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,2013,8.9,9.4,2,3,75,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
75,2013,8.9,9.4,0,2,85,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
76,2014,8.6,8.7,0,2,63,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
77,2014,8.6,8.7,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
78,2014,8.6,8.7,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
79,2014,8.6,8.7,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
80,2014,8.6,8.7,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
81,2014,8.6,8.7,0,2,90,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
82,2014,8.6,8.7,0,3,103,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
83,2014,8.6,8.7,0,4,116,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
84,2015,9.1,9,0,2,60,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
85,2015,9.1,9,0,2,65,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
86,2015,9.1,9,0,2,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
87,2015,9.1,9,0,2,90,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
88,2008,7.9,8.7,0,2,68,18,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
89,2008,7.9,8.7,0,2,87,18,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
90,2008,7.9,8.7,0,2,95,20,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
91,2008,7.9,8.7,0,2,109,26,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
92,2008,7.9,8.7,0,2,118,26,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
93,2008,7.9,8.7,0,2,125,32,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
94,2008,7.9,8.7,1,2,140,38,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
95,2008,7.9,8.7,1,2,145,38,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
96,2008,7.9,8.7,1,2,153,37,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
97,2008,7.9,8.7,1,2,165,45,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
98,2008,7.9,8.7,1,2,170,44,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
99,2016,8.8,9.3,0,2,68,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
100,2016,8.8,9.3,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
101,2016,8.8,9.3,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
102,2016,8.8,9.3,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
103,2016,8.8,9.3,0,3,90,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
104,2016,8.8,9.3,0,2,87,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
105,2016,8.8,9.3,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
