Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Dundaga Axe & Archery guesthouse,2023,9.3,9.4,2,5,105,56,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Dundaga Axe & Archery guesthouse,2023,9.3,9.4,2,6,110,56,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Dundaga Axe & Archery guesthouse,2023,9.3,9.4,2,1,83,56,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,2,76,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,3,84,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,4,95,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,5,117,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,6,131,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Zaļais namiņš,2014,9.5,9.7,1,1,60,85,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,2,78,18,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,1,75,18,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,2,78,25,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,1,75,25,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,3,104,21,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,4,119,30,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,5,124,30,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Sunset Hotel,2008,7.8,9.5,0,1,72,16,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Villa Gāles Hotel,2015,7.3,7.3,0,2,39,17,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Villa Gāles Hotel,2015,7.3,7.3,0,2,40,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Villa Gāles Hotel,2015,7.3,7.3,0,2,44,22,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Villa Gāles Hotel,2015,7.3,7.3,0,3,44,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
